"response_id","q1_1","q1_1_1_code","q1_1_2_code","q1_2","q1_2_1_code","q1_2_2_code","q1_3","q1_3_1_code","q1_3_2_code","q1_4","q1_4_1_code","q1_4_2_code","q1_5","q1_5_1_code","q1_5_2_code"
"R_1o1Joiv2Mg4e5BP","I'm not sure","","","","","","","","","","","","","",""
"R_3JrRT5aDxxC7uTF","Burger King","","","","","","","","","","","","","",""
"R_3kk9NTLVsXOAh2J","McDonald's","","","Wendy's","","","Burger King","","","Rocket","","","","",""
"R_2VdRdqMbyvzJfop","Qdoba","10","","Chipotle","2","","Panera","9","","","","","","",""
"R_C1WJBAM2qJbeubv","Wendys","","","","","","","","","","","","","",""
"R_1nZOA8Lb5ZLSjnG","Culvers","","","Steak n shake","","","","","","","","","","",""
"R_O7jmxrykECaUZ5n","Applebee","","","Friday","","","Cactus Willies","","","Dave's Famous Ribs","","","Tuesday 's","",""
"R_1ifnxjmhO51Q61p","Panera Bread","","9","Chipotle","2","","Fired","","","","","","","",""
"R_1jTCEyu75oLZDUG","red robster","","","apple bee","","","olive garden","","","ruby tuesday","","","fat tuesday","",""
"R_1mDSy2No1yx9W3v","Taco Bell","","12","McDonald’s","","","Chic fil a","1","","Arbys","","","Rally’s","",""
"R_pbA6Fkh1wZCc4Pn","Panera","9","","Panda express","","8","Chic fil a","1","","","","","","",""
"R_2V8uXFV5RlbV46D","Sizzler","","","Olive Garden","","","PF Chang","","","Pizza Hut","","","","",""
"R_2aVqM2GgHOCRpHo","McDonald’s","","","Burger King","","","Wendy’s","","","Denny’s","","","Popeyes","",""
"R_2xVJrP3DWmRaurm","Golden corral","","","","","","","","","","","","","",""
"R_3L4n5yymmRs8L9n","None","","","","","","","","","","","","","",""
"R_VVD2isc0e1Il63n","Golden Corral","","","Red Robin","","","Applebee’s","","","Noodles n company","","7","Bdubs","",""
"R_RxetWUpNLNN9sJz","mcdonalds","","","wendys","","","burger king","","","","","","","",""
"R_2ALM9PcX2uPPu6V","Goodys","","","Cracker Barrel","","","O’Charleys","","","Texas Roadhouse","","","Applebees","",""
"R_2WTsoA5y6qjZwJM","Shake Shack","","","Red Robin","","","","","","","","","","",""
"R_1DT3IqHkCNcendC","Applebees","","","TGI Fridays","","","Chili's","","","IHOP","","","Culver's","",""
"R_1FeRRvaTGhW35WH","Food","","","Love","","","Happy","","","Happy","","","Good","",""
"R_1mt1kiVdo0Oa6rY","Panara Bread","","9","Subway","","","Five Guys","","","","","","","",""
"R_3IvOVAv4gl0ua7n","Mcdonalds","","","Taco bell","","12","White castle","","","Long John Silver’s","","","Burger king","",""
"R_2CWcVaxc30AJIdI","McDonald's","","","Hardees","","","Taco bell","","12","Wendys","","","White castle","",""
"R_1F3TlAk9AJPGVam","Chipotle","2","","Panera","9","","Au Bon Pain","","","","","","","",""
"R_3IVRftdS8VRkjxr","chipotle","2","","five guys","","","","","","","","","","",""
"R_1ewLKbCd3MC4vIf","Red robin","","","Arbys","","","Chick filah","","1","Fridays","","","Applebees","",""
"R_2xxXk389RstNaLc","Mcdonalds","","","Taco Bell","","12","White Castle","","","Hardees","","","Steak m Shake","",""
"R_1gqJgNVCFausdWo","Dennys","","","Sharis","","","Applebees","","","Wendys","","","Taco gaby","",""
"R_1C1MhK5JV77OL9p","Panera Bread","","9","Starbucks","","","","","","","","","","",""
"R_ZxDwhjAHKrdNULT","Applebee’s","","","Red Robin","","","","","","","","","","",""
"R_O9gMg28PVbOxfnr","Subway","","","Mc Donald’s","","","Wendy’s","","","Burger King","","","","",""
"R_3lA2Da4kjIS8SsK","Subway","","","Applebees","","","Red Lobster","","","KFC","","","Longhorn","",""
"R_3dWhW2eIUr9hO40","Culver's","","","Panera Bread","","9","Chipotle","2","","","","","","",""
"R_rcLBikvVq1mnRBf","Panera","9","","Chipotle","2","","Qdoba","10","","","","","","",""
"R_1ml4GAkpXtyjbLl","Burger king","","","McDonald’s","","","Runza","","","Wendy’s","","","Chick-fil-A","","1"
"R_1Ihr03ry4Bx8A9U","KFC","","","PopEyes","","","Taco Bell","","12","Chipotle","2","","Dennys","",""
"R_1QiPSeUmn5fnjsK","Apple bees","","","","","","","","","","","","","",""
"R_1QDSi1LGwzhPBT7","Fridays","","","Red Lobster","","","Olive Garden","","","Chili's","","","IHop","",""
"R_1MJMgDXgkwcAXOQ","Panera","9","","Olga","","","McDonald’s","","","Tropical smoothie","","","Burger King","",""
"R_2aqLrngwyw5N3Iy","Panera","9","","Chipotle","2","","Moe's","6","","","","","","",""
"R_3dYW4aEM1b2mTLs","None","","","","","","","","","","","","","",""
"R_2BmrxwwQU4vtqIH","Chic Fila","1","","","","","","","","","","","","",""
"R_ZdA01HMOal9ZV3X","Olive garden","","","Apple bee","","","Friendly","","","Kentucky fried chiken","","","Boston market","",""
"R_9LZIvCo9SQC0jlv","none","","","","","","","","","","","","","",""
"R_w5DbpAqZcmgcHT3","Dicks","","","Wendys","","","Arbys","","","Tacotime","","","Applebees","",""
"R_2TAEHuFJd1vvk58","Popeyes","","","KFC","","","Carl Hardees","","","Sonic","","","McDonalds","",""
"R_23ZtItIVgnnAgha","Olive Garden","","","Applebees","","","Chillis","","","TGI Fridays","","","","",""
"R_2wQtJJfKJuX5UFv","Five guys","","","Market basket","","","Boston market","","","None","","","None","",""
"R_ugnGDfuKqWOkqWJ","Red Robin","","","","","","","","","","","","","",""
"R_1jrFpEmhbqMrwz4","Neato burrito","","","MOD pizza","","","","","","","","","","",""
"R_1FmN3JxKScwIACK","Smokeys","","","Pot Belly","","","","","","","","","","",""
"R_qL3W0ldvzihYcVP","None","","","None","","","","","","","","","","",""
"R_2TvgHI0PSSmcca8","Applebee's","","","Freddy's","","","Joey B's","","","54th Street","","","Maggiano's","",""
"R_RIjrcwovoqZC7Xr","Five  guys","","","Culvers","","","","","","","","","","",""
"R_3n77k8cInvmGmnP","Chick-fil-A","","1","McDonald’s","","","Wendys","","","Checkers","","","Popeyes","",""
"R_2ygbi8X7VVaKNZU","McDonald’s","","","Burger king","","","Arbys","","","Taco bell","","12","Wendy’s","",""
